HS Hafnaf (Adaltafla  09/22/10 14:10)	Phase A Current Harmonics Summary, RMS Values. Sep 23 2010 14:10:56 (K=0.5)
HS Hafnaf (Adaltafla  09/22/10 14:10)	Neutral Current Harmonics Summary, RMS Values. Sep 23 2010 14:10:56 (K=0.5)
Harm	Avg	Max
1	5.879	25.586
2	0.162	2.447
3	4.247	9.154
4	0.097	1.230
5	0.647	1.923
6	0.078	0.822
7	1.308	2.926
8	0.065	1.016
9	2.188	3.995
10	0.045	0.764
11	0.570	1.683
12	0.039	0.783
13	0.434	1.062
14	0.039	0.809
15	0.499	1.295
16	0.032	0.822
17	0.272	1.644
18	0.032	0.745
19	0.317	2.201
20	0.026	0.939
21	0.194	5.762
22	0.019	0.712
23	0.162	2.272
24	0.019	0.550
25	0.175	1.379
26	0.019	0.524
27	0.058	0.511
28	0.013	0.486
29	0.104	0.596
30	0.013	0.479
31	0.078	0.479
32	0.013	0.414
33	0.032	0.401
34	0.013	0.427
35	0.045	0.473
36	0.006	0.376
37	0.052	0.421
38	0.006	0.317
39	0.039	0.356
40	0.006	0.376
41	0.026	0.330
42	0.006	0.324
43	0.026	0.265
44	0.006	0.285
45	0.026	0.330
46	0.006	0.330
47	0.032	0.330
48	0.006	0.291
49	0.019	0.259
50	0.006	0.272
51	0.019	0.304
52	0.006	0.369
53	0.019	0.363
54	0.006	0.278
55	0.019	0.311
56	0.006	0.272
57	0.013	0.356
58	0.006	0.421
59	0.013	0.382
60	0.006	0.350
61	0.013	0.278
62	0.006	0.350
63	0.019	0.453

